locality_full,locality_short,registered_voters_2026,spanberger_d_2025,earlesears_r_2025,total_votes_2025,dem_pct_2025,gop_pct_2025,dem_margin_2025,referendum_ev_2026,ev_pct_of_registered,ev_pct_of_2025_turnout
Fairfax County,Fairfax County,810370,329269.0,115839.0,446329.0,73.77,25.95,47.82,51212,6.32,11.47
Chesterfield County,Chesterfield,285362,100595.0,70021.0,170910.0,58.86,40.97,17.89,21803,7.64,12.76
Virginia Beach City,Virginia Beach,339388,94339.0,75013.0,169621.0,55.62,44.22,11.4,24280,7.15,14.31
Loudoun County,Loudoun,309642,108594.0,59278.0,168316.0,64.52,35.22,29.3,18839,6.08,11.19
Prince William County,Prince William,332357,111198.0,54309.0,165888.0,67.03,32.74,34.29,15393,4.63,9.28
Henrico County,Henrico,251506,103559.0,45627.0,149446.0,69.3,30.53,38.77,21621,8.6,14.47
Arlington County,Arlington,183434,83657.0,15929.0,99821.0,83.81,15.96,67.85,11467,6.25,11.49
Chesapeake City,Chesapeake,186287,53971.0,42147.0,96282.0,56.06,43.77,12.29,13339,7.16,13.85
Richmond City,Richmond City,165461,79019.0,11883.0,91114.0,86.73,13.04,73.69,8063,4.87,8.85
Norfolk City,Norfolk,146639,50126.0,16022.0,66262.0,75.65,24.18,51.47,7164,4.89,10.81
Stafford County,Stafford,118811,35327.0,27774.0,63216.0,55.88,43.94,11.94,8569,7.21,13.56
Alexandria City,Alexandria,116285,52230.0,10424.0,62844.0,83.11,16.59,66.52,8281,7.12,13.18
Hanover County,Hanover,90052,23994.0,36278.0,60367.0,39.75,60.1,-20.35,9645,10.71,15.98
Spotsylvania County,Spotsylvania,113281,30748.0,29015.0,59867.0,51.36,48.47,2.89,9575,8.45,15.99
Newport News City,Newport News,126457,38936.0,17461.0,56489.0,68.93,30.91,38.02,6820,5.39,12.07
Albemarle County,Albemarle,89968,39322.0,16480.0,55895.0,70.35,29.48,40.87,8298,9.22,14.85
Hampton City,Hampton,102598,35129.0,12103.0,47323.0,74.23,25.58,48.65,7191,7.01,15.2
Roanoke County,Roanoke County,74862,18062.0,24728.0,42887.0,42.12,57.66,-15.54,7723,10.32,18.01
James City County,James City County,66394,23603.0,19029.0,42695.0,55.28,44.57,10.71,11672,17.58,27.34
Suffolk City,Suffolk,77702,25696.0,15935.0,41711.0,61.6,38.2,23.4,5966,7.68,14.3
Bedford County,Bedford,66052,10048.0,29166.0,39271.0,25.59,74.27,-48.68,6106,9.24,15.55
Frederick County,Frederick,73723,15809.0,23129.0,38989.0,40.55,59.32,-18.77,7266,9.86,18.64
Montgomery County,Montgomery,67797,21428.0,15228.0,36732.0,58.34,41.46,16.88,5679,8.38,15.46
Rockingham County,Rockingham,60859,11622.0,24498.0,36196.0,32.11,67.68,-35.57,5596,9.2,15.46
Fauquier County,Fauquier,58118,14610.0,19894.0,34566.0,42.27,57.55,-15.28,5656,9.73,16.36
Augusta County,Augusta,58189,9522.0,24612.0,34194.0,27.85,71.98,-44.13,5540,9.52,16.2
